word,freq
existem,1828
igreja,1828
mandatos,1827
precisam,1824
contato,1823
continuidade,1823
francisco,1823
admitiu,1822
poucos,1822
vieira,1820
impedir,1818
indústria,1818
júnior,1818
amanhã,1817
interna,1814
irá,1813
nega,1813
reduzir,1812
recente,1808
acha,1803
crítica,1803
nível,1800
terra,1797
tentou,1793
derrota,1790
destaca,1786
negociação,1786
benefícios,1785
decreto,1783
deixa,1783
novamente,1783
locais,1780
coordenação,1779
unidade,1779
bloco,1778
manifestantes,1778
buscar,1777
soares,1777
sucessão,1777
genoino,1776
doação,1774
chamada,1771
pleito,1769
bens,1768
televisão,1768
dificuldade,1767
presentes,1764
famílias,1763
tribunais,1763
cujo,1762
notícias,1761
audiência,1760
metade,1758
versão,1757
vantagem,1754
custo,1753
tratamento,1753
aparece,1751
santana,1750
fará,1748
vaccari,1748
responsáveis,1745
conduta,1744
leis,1743
legendas,1738
indicado,1737
eleitos,1736
escola,1734
rui,1734
autonomia,1733
acrescentou,1731
deus,1730
provável,1729
citado,1727
abuso,1726
cidadãos,1726
viagem,1725
broadcast,1723
cabeça,1720
cuja,1720
visto,1719
ampla,1718
popularidade,1716
ex-ministra,1715
hipótese,1714
condução,1712
desvios,1712
policial,1711
simples,1711
trabalhos,1711
interno,1710
candidaturas,1709
investigadores,1706
números,1703
técnica,1703
primeiros,1700
bastidores,1699
devido,1695
histórico,1695
ribeiro,1694
avaliou,1692
jurídico,1684
acordos,1683
parlamento,1680
resolver,1678
santa,1678
posso,1677
consultoria,1674
apuração,1673
seguir,1673
perguntas,1672
jovens,1670
doria,1669
mundial,1669
licitação,1666
execução,1661
assinaturas,1657
abastecimento,1655
levantamento,1654
quarta,1654
imposto,1652
votações,1652
abaixo,1651
departamento,1651
começar,1650
ibope,1649
definir,1646
ciência,1644
colegiado,1644
delegado,1642
clara,1639
absolutamente,1638
aurélio,1637
recife,1636
tomada,1635
inquéritos,1632
página,1632
pt-sp,1629
ausência,1628
entrada,1628
titular,1628
competência,1627
ocorrer,1625
comércio,1624
brasileiras,1620
autos,1619
naquele,1618
paes,1618
cara,1615
internacionais,1615
prioridade,1615
tendência,1615
ana,1614
julgar,1613
assessor,1612
crédito,1611
promover,1610
sequer,1610
comitê,1609
oas,1605
mantega,1603
corrêa,1602
luís,1602
privado,1601
eventos,1600
ideias,1598
momentos,1597
suspeitas,1596
colegas,1595
palavras,1595
esperar,1594
apontado,1593
encontrar,1593
prometeu,1590
ali,1589
filhos,1589
votou,1586
debates,1585
fácil,1584
independência,1583
negócio,1583
prestação,1582
delações,1581
goiás,1581
considerou,1579
índice,1579
salários,1579
coletiva,1578
onu,1578
privilegiado,1578
franco,1577
peemedebistas,1577
vara,1577
corpo,1574
escreveu,1574
irmão,1574
