word,freq
receitas,1416
simples,1415
cortes,1414
diretores,1414
madrugada,1414
titular,1412
ligadas,1411
indicou,1410
pessoalmente,1409
aval,1408
legais,1408
proteção,1407
publicamente,1407
coletiva,1405
hotel,1404
ataque,1403
acredito,1402
compromissos,1402
sabatina,1402
rogério,1401
autonomia,1400
batista,1398
produtos,1398
ruim,1398
traz,1396
argumentos,1392
começaram,1390
profissionais,1389
romero,1389
considerar,1387
informado,1387
fortaleza,1386
itamar,1386
centrais,1385
pagos,1385
reúne,1384
sala,1384
organizado,1383
registrado,1383
estabelece,1382
estudo,1381
acreditar,1380
autorizou,1380
daniel,1379
realizadas,1379
beto,1378
ciência,1378
psdb-sp,1378
arruda,1377
direto,1376
praça,1376
castro,1375
melhorar,1374
said,1374
manifestou,1373
preventiva,1372
confronto,1370
explicações,1370
chama,1369
lobão,1368
promover,1368
pobres,1366
imóveis,1363
ali,1362
anunciar,1361
cuja,1361
preto,1361
aceitou,1359
enviada,1359
suficiente,1359
entendeu,1358
pac,1357
aloysio,1355
elementos,1355
farias,1355
consenso,1354
coordenação,1354
gravação,1354
jobim,1354
retirada,1353
trechos,1353
recuperação,1352
britto,1351
âmbito,1350
complexo,1348
lacerda,1348
comprar,1347
contrários,1347
paz,1347
aloizio,1344
dom,1342
graça,1342
praticamente,1341
reconheceu,1341
responde,1341
considerada,1340
abre,1339
almeida,1339
monte,1339
procurou,1338
defendem,1335
jaques,1335
comentou,1334
fábio,1333
indica,1333
grau,1330
produto,1328
recebimento,1326
judiciais,1325
década,1324
deveriam,1324
guido,1324
moraes,1324
cruz,1323
geddel,1323
battisti,1321
leis,1321
vigor,1321
virou,1319
siglas,1318
citar,1317
jantar,1317
ex-tesoureiro,1316
cadeia,1315
argumentou,1314
